I_trMrho_e,I_sign_e
0.0223714,0.000126106
0.0103853,6.60409e-05
0.00173718,1.15198e-05
0.00270209,0.000404277
0.00549861,0.00272395
0.0235295,0.00421214
0.00833165,0
0.0292539,0.00607028
0.00642044,3.10264e-08
0.0117468,9.34246e-06
0.00113061,2.81363e-05
0.00425869,0.000290035
0.0228551,0.00300738
0.00120889,0.000192887
0.00226993,1.10046e-05
0.00997744,0.00101972
0.00329881,0.000120569
0.00246349,0.00038388
0.00109276,0.000163829
0.00216454,0.000563293
0.0203434,0.000110176
0.00224385,0.000383028
0.0112666,0.00412397
0.0031724,0.00167758
0.00318084,0.000526782
0.00644464,0.000627536
0.00347581,0.00126854
0.000527589,5.53057e-05
0.00672892,7.04448e-05
0.0208562,0.00170508
0.0161208,0
0.0111258,8.22943e-05
0.004994,5.96192e-06
0.00175689,4.81103e-05
0.00751629,0.00435127
0.00321338,0.000220828
0.0148651,0.00137227
0.0119081,0
0.0139268,0.00122055
0.00266594,6.53203e-06
0.00983632,0.000544264
0.000168787,1.27671e-05
0.00110414,0.00022624
0.0005173,6.44532e-05
0.00897765,8.80365e-06
0.0066233,0.00405219
0.00145308,0.000547873
0.0016281,0.000287695
0.00109716,6.74744e-06
0.00222713,3.32761e-05
0.0083994,9.1288e-05
0.00523301,0.000422864
0.00834509,0.00190661
0.01358,0.00376297
0.0134765,0.00423039
0.0075442,0.000924558
0.0116994,0.00244341
0.000807619,1.46724e-06
0.004922,9.0894e-06
0.00454172,0.000255116
0.00110994,0.000427656
0.00213528,0.00110685
0.00591437,2.09701e-05
0.0123531,0.00098792
0.00288568,0.000161976
0.0068167,0.000121077
0.00586808,2.50428e-09
0.00281662,0
0.00188496,0.000103534
0.0379775,0.00402702
0.00134073,0.000604633
0.0013984,0.000221945
0.00247302,0.000124201
0.0181387,0
0.00844225,0.00503394
0.00846473,0.00186163
0.0218682,0.000801234
0.000859844,1.22313e-05
0.00594129,0.000827183
0.00102616,0.000167756
0.00233354,3.57991e-05
0.00361593,4.10954e-06
0.0154923,0.000411431
0.0108249,6.18805e-05
0.00123837,3.20343e-16
0.0157067,0.000576565
0.00153775,0
0.00284564,0.00150076
0.0207068,0.00461977
0.00241878,0.000254866
0.00415598,0.000359032
0.00812316,0.000133582
0.00673335,2.56916e-06
0.00503509,0.000194516
0.0108038,0.00138121
0.0132963,0.00143216
0.00274209,4.04497e-05
0.0121849,0.00171975
0.0102872,9.24661e-05
0.00885002,0.00386203
0.0037738,0.000126973
0.00653535,0.00140557
0.00448541,0.00146348
0.00415004,5.57659e-05
0.0358079,0.00439704
0.00234439,3.20343e-16
0.000685509,0.000236298
0.00725369,0.00128403
0.00765348,0.00417209
0.0596944,0.0107769
0.00685479,0.00425193
0.00475591,1.08515e-06
0.0209095,9.68187e-05
0.00516266,6.15913e-05
0.00321014,0.00192738
0.00200198,0.000126357
0.00278554,0.00192143
0.00238795,5.6863e-05
0.00389352,4.40176e-06
0.00912036,0.000173722
0.0019546,2.37836e-06
0.000749106,4.94101e-05
0.0037316,0.000142522
0.00178768,1.23285e-05
0.0259389,0.00468938
0.00552859,1.46724e-06
0.000985596,2.84142e-05
0.0116344,3.20343e-16
0.00221424,3.84663e-05
0.000303983,3.45684e-05
0.00279437,1.61405e-05
0.0065364,0.000131085
0.0044865,0.00267832
0.00226757,0
0.00180492,0.000627944
0.0475397,0.000442337
0.00355934,0.000733934
0.00168925,9.08008e-05
0.00196022,1.41244e-05
0.00621327,0.000113901
0.00832273,0.00074061
0.00180238,0.000663492
0.000636442,1.83187e-05
0.0254567,2.34776e-05
0.00162091,0.000209535
0.00585498,0.000183855
0.0304985,0.000856523
0.00334289,2.09595e-05
0.00330606,7.33634e-06
0.00565606,3.20343e-16
0.00457021,3.20343e-16
0.00146496,3.86405e-06
0.00379695,0.00147616
0.00263486,0.000256087
0.00301534,0.000214569
0.0109836,0.000531322
0.00221776,3.20343e-16
0.0225715,0.0138102
0.00229452,1.03172e-05
0.00415332,9.0894e-06
0.0218197,0.000483556
0.00214572,0
0.000239328,2.70365e-06
0.00904457,0.00129432
0.00618097,2.2438e-06
0.00395984,1.46724e-06
0.00147232,2.61158e-05
0.00661218,8.26802e-06
0.00128652,9.32637e-05
0.0018164,7.27112e-05
0.00373767,1.89241e-05
0.00843599,0.00109748
0.00259923,0.000762048
0.000444052,3.38066e-06
0.00415132,1.71337e-05
0.00460686,0.0017628
0.0145211,0.00537301
0.0244091,0.00742767
0.00281112,0
0.00581754,0.000664941
0.0256486,0.00141757
0.00103737,3.5018e-07
0.00277056,1.73036e-07
0.0197909,0.00293137
0.0123568,0.000234078
0.0251912,0.0018051
0.00640112,0.000978803
0.00890669,0.000357116
0.00430588,0.000271986
0.00444169,6.49242e-05
0.00477924,0.000669668
0.043761,0.000446862
0.00292073,6.44775e-06
